t,x,y,z
5.612833375E0,9.635896683E0,-2.333002090E-1,2.129612207E0
5.615210094E0,9.645467758E0,-2.380858511E-1,2.143969059E0
5.617586813E0,9.650253296E0,-2.524427772E-1,2.129612207E0
5.619963584E0,9.635896683E0,-2.524427772E-1,2.138585329E0
5.622340303E0,9.640682220E0,-2.667997181E-1,2.138585329E0
5.624717021E0,9.635896683E0,-2.715853751E-1,2.109871387E0
5.627093740E0,9.641280174E0,-2.757728100E-1,2.095514536E0
5.629470459E0,9.636494637E0,-2.853440940E-1,2.081157446E0
5.631847230E0,9.636494637E0,-2.997010350E-1,2.066800594E0
5.634223948E0,9.617950439E0,-2.901297510E-1,2.042872429E0
5.636600667E0,9.617950439E0,-3.140579760E-1,2.047059774E0
5.638977386E0,9.594022751E0,-2.901297510E-1,2.032702923E0
5.641354105E0,9.584450722E0,-3.140579760E-1,2.008774519E0
5.643730875E0,9.570094109E0,-2.997010350E-1,2.003988981E0
5.646107594E0,9.570692062E0,-2.997010350E-1,1.989632010E0
5.648484313E0,9.561120987E0,-2.949153781E-1,1.975275040E0
5.650861032E0,9.556335449E0,-2.949153781E-1,1.984846354E0
5.653237750E0,9.546764374E0,-2.853440940E-1,1.960319996E0
5.655614521E0,9.541978836E0,-2.709871531E-1,1.946561217E0
5.657991240E0,9.532406807E0,-2.662015259E-1,1.936391711E0
5.660367959E0,9.537791252E0,-2.853440940E-1,1.917249203E0
5.662744678E0,9.533005714E0,-2.614158690E-1,1.913061738E0
5.665121396E0,9.518648148E0,-2.518445849E-1,1.917249203E0
5.667498115E0,9.518648148E0,-2.566302419E-1,1.912463546E0
5.669874886E0,9.494720459E0,-2.422732860E-1,1.912463546E0
5.672251605E0,9.499505997E0,-2.470589429E-1,1.912463546E0
5.674628323E0,9.485149384E0,-2.327020019E-1,1.902892232E0
5.677005042E0,9.498908043E0,-2.135594189E-1,1.922633052E0
5.679381761E0,9.489336014E0,-2.183450609E-1,1.931606054E0
5.681758532E0,9.498908043E0,-2.093719840E-1,1.951346874E0
5.684135250E0,9.494122505E0,-2.189432681E-1,1.955534339E0
5.686511969E0,9.494122505E0,-2.093719840E-1,1.946561217E0
5.688888688E0,9.503693581E0,-2.045863420E-1,1.951346874E0
5.691265407E0,9.527621269E0,-2.045863420E-1,1.960918188E0
5.693642178E0,9.537193298E0,-2.039881349E-1,1.951346874E0
5.696018896E0,9.527621269E0,-2.045863420E-1,1.960918188E0
5.698395615E0,9.551549911E0,-1.992024779E-1,1.951945066E0
5.700772334E0,9.565906525E0,-1.896311939E-1,1.932802439E0
5.703149053E0,9.589835167E0,-1.615155339E-1,1.942971945E0
5.705525823E0,9.570692062E0,-1.519442350E-1,1.951945066E0
5.707902542E0,9.585049629E0,-1.663011760E-1,1.952543259E0
5.710279261E0,9.585049629E0,-1.663011760E-1,1.952543259E0
5.712655980E0,9.599406242E0,-1.471585929E-1,1.947757602E0
5.715032698E0,9.584450722E0,-1.615155339E-1,1.962114573E0
5.717409417E0,9.589835167E0,-1.615155339E-1,1.957328916E0
5.719786188E0,9.613164902E0,-1.519442350E-1,1.962114573E0
5.722162907E0,9.608379364E0,-1.375873089E-1,1.971685886E0
5.724539625E0,9.603593826E0,-1.375873089E-1,1.976471543E0
5.726916344E0,9.603593826E0,-1.423729509E-1,1.986042738E0
5.729293063E0,9.598808289E0,-1.423729509E-1,2.000399828E0
5.731669834E0,9.608379364E0,-1.328016520E-1,2.000399828E0
5.734046553E0,9.598209381E0,-1.519442350E-1,2.019542217E0
5.736423271E0,9.617352486E0,-1.328016520E-1,2.020140409E0
5.738799990E0,9.598209381E0,-1.328016520E-1,2.043470621E0
5.741176709E0,9.593423843E0,-1.567298770E-1,2.067398787E0
5.743553480E0,9.616754532E0,-1.519442350E-1,2.076970100E0
5.745930198E0,9.617352486E0,-1.615155339E-1,2.067398787E0
5.748306917E0,9.616754532E0,-1.567298770E-1,2.081755638E0
5.750683636E0,9.602396965E0,-1.567298770E-1,2.091326952E0
5.753060355E0,9.611968994E0,-1.519442350E-1,2.086541414E0
5.755437125E0,9.597611427E0,-1.615155339E-1,2.096112728E0
5.757813844E0,9.626325607E0,-1.615155339E-1,2.110469580E0
5.760190563E0,9.621540070E0,-1.621137410E-1,2.124826431E0
5.762567282E0,9.620942116E0,-1.668993831E-1,2.134397745E0
5.764944000E0,9.630513191E0,-1.998006850E-1,2.158325911E0
5.767320719E0,9.625727654E0,-2.099701911E-1,2.172683001E0
5.769697490E0,9.620343208E0,-2.243271172E-1,2.215753794E0
5.772074209E0,9.615557671E0,-2.243271172E-1,2.224726915E0
5.774450928E0,9.610174179E0,-2.482553422E-1,2.267797709E0
5.776827646E0,9.595816612E0,-2.530409992E-1,2.301297188E0
5.779204365E0,9.576674461E0,-2.434697002E-1,2.291725874E0
5.781581136E0,9.543174744E0,-2.482553422E-1,2.281556368E0
5.783957855E0,9.543772697E0,-2.530409992E-1,2.252842426E0
5.786334573E0,9.510273933E0,-2.530409992E-1,2.228316069E0
5.788711292E0,9.500701904E0,-2.530409992E-1,2.204387903E0
5.791088063E0,9.501300812E0,-2.578266263E-1,2.180459738E0
5.793464782E0,9.491728783E0,-2.434697002E-1,2.180459738E0
5.795841500E0,9.515657425E0,-2.482553422E-1,2.166700840E0
5.798218219E0,9.530014038E0,-2.338984162E-1,2.161915302E0
5.800594938E0,9.525228500E0,-2.243271172E-1,2.147558212E0
