"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.331280625E0,9.463320923E0,1.803749084E-1,1.478176117E0
3.341317625E0,9.459279327E0,1.911524963E-1,1.502276001E0
3.351354625E0,9.478589172E0,1.784289551E-1,1.602118378E0
3.361391625E0,9.535470886E0,1.657054138E-1,1.700314178E0
3.371428625E0,9.617200928E0,1.766326904E-1,1.761087799E0
3.381465625E0,9.696985016E0,2.094145203E-1,1.782642975E0
3.391502625E0,9.748927002E0,2.698887634E-1,1.798060913E0
3.401539625E0,9.730066223E0,3.158432007E-1,1.824106750E0
3.411576625E0,9.692344666E0,3.303630066E-1,1.839075623E0
3.421613625E0,9.644144897E0,3.252735901E-1,1.838776245E0
3.431650625E0,9.607022095E0,3.097059631E-1,1.814376984E0
3.441687625E0,9.574988708E0,2.830613708E-1,1.749561768E0
3.451724625E0,9.561516724E0,2.621049500E-1,1.679058380E0
3.461761625E0,9.573940887E0,2.728825378E-1,1.635349274E0
3.471798625E0,9.574988708E0,2.733316040E-1,1.609303436E0
3.481835625E0,9.569450226E0,2.725831604E-1,1.597028961E0
3.491872625E0,9.579629059E0,2.634521484E-1,1.633702698E0
3.501909625E0,9.586963806E0,2.514770508E-1,1.689985657E0
3.511946625E0,9.573940887E0,2.516267395E-1,1.724414063E0
3.521983625E0,9.573940887E0,2.396516418E-1,1.766027527E0
3.532020625E0,9.594148865E0,2.450404358E-1,1.820663910E0
3.542057625E0,9.616901550E0,2.567161560E-1,1.836979980E0
3.552094625E0,9.654024353E0,2.658471680E-1,1.884730682E0
3.562131625E0,9.665550385E0,2.694396973E-1,1.886976013E0
3.572168625E0,9.612111511E0,2.829116821E-1,1.840871887E0
3.582205625E0,9.562564545E0,3.126997375E-1,1.818568268E0
3.592242625E0,9.519005127E0,3.336561584E-1,1.797911224E0
3.602279625E0,9.503587189E0,3.487747192E-1,1.785786438E0
3.612316625E0,9.493707733E0,3.616479492E-1,1.754800873E0
3.622353625E0,9.491163025E0,3.659889221E-1,1.726659393E0
3.632390625E0,9.490414581E0,3.597019958E-1,1.695374451E0
3.642427625E0,9.504185944E0,3.565585327E-1,1.700763245E0
3.652464625E0,9.534423065E0,3.635939026E-1,1.728904724E0
3.662501625E0,9.523346100E0,3.754193115E-1,1.757195892E0
3.672539625E0,9.501042480E0,3.812571716E-1,1.786983948E0
3.682576625E0,9.501491547E0,3.948788452E-1,1.819017334E0
3.692613625E0,9.501940613E0,3.832031250E-1,1.843566284E0
3.702650625E0,9.537716217E0,3.562591553E-1,1.847158813E0
3.712687625E0,9.574090576E0,3.348536682E-1,1.802252197E0
3.722724625E0,9.595496063E0,3.604504395E-1,1.740131378E0
3.732761625E0,9.598190460E0,4.243675232E-1,1.689835968E0
3.742798625E0,9.596394196E0,4.816983032E-1,1.667981415E0
3.752835625E0,9.583071899E0,5.631289673E-1,1.638941803E0
3.762872625E0,9.566456451E0,6.253994751E-1,1.611399078E0
3.772909625E0,9.564211121E0,6.878196716E-1,1.567839661E0
3.782946625E0,9.561666412E0,7.349716187E-1,1.543440399E0
3.792983625E0,9.579329681E0,7.420069885E-1,1.529519348E0
3.803020625E0,9.597442017E0,7.391629028E-1,1.498982849E0
3.813057625E0,9.623338165E0,7.286846924E-1,1.494641876E0
3.823094625E0,9.627828827E0,7.063810730E-1,1.479822693E0
3.833131625E0,9.591304779E0,6.984475708E-1,1.479972382E0
3.843168125E0,9.574240265E0,6.984475708E-1,1.522783356E0
3.853205125E0,9.594897308E0,7.029382324E-1,1.566342773E0
3.863242125E0,9.655521240E0,6.899153137E-1,1.567390594E0
3.873279125E0,9.712253265E0,6.801855469E-1,1.585951996E0
3.883316125E0,9.724527740E0,6.833290100E-1,1.612297211E0
3.893353125E0,9.683363342E0,6.701564026E-1,1.605411530E0
3.903390125E0,9.606722717E0,6.647676086E-1,1.598675537E0
3.913427125E0,9.556127930E0,6.725514221E-1,1.572180634E0
3.923464125E0,9.532926178E0,6.765930176E-1,1.575024719E0
3.933501125E0,9.518705750E0,6.542893982E-1,1.616338806E0
3.943538125E0,9.540560303E0,6.382727051E-1,1.674567719E0
3.953575125E0,9.587562561E0,5.923182678E-1,1.731000366E0
3.963612125E0,9.624236298E0,5.351371765E-1,1.856289825E0
3.973649125E0,9.602381744E0,5.050497437E-1,2.050136719E0
3.983686125E0,9.518106995E0,4.983137512E-1,2.274669800E0
3.993723125E0,9.434431000E0,5.354365540E-1,2.439926147E0
4.003760125E0,9.340875549E0,5.779481506E-1,2.494861908E0
4.013797125E0,9.282496948E0,5.351371765E-1,2.444267120E0
4.023834125E0,9.262588348E0,4.257147217E-1,2.362537079E0
4.033871125E0,9.323661346E0,2.368075562E-1,2.300266571E0
4.043908125E0,9.420210571E0,5.598358154E-2,2.164798279E0
4.053946125E0,9.536518707E0,-5.673202515E-2,1.996997223E0
4.063983125E0,9.563762054E0,-1.155596924E-1,1.853745117E0
4.074020125E0,9.529932404E0,-1.460961914E-1,1.880689087E0
4.084057125E0,9.464668121E0,-1.489402771E-1,2.035317535E0
4.094094125E0,9.437125397E0,-1.803749084E-1,2.295476532E0
4.104131125E0,9.537716217E0,-3.384461975E-1,2.523302765E0
4.114168125E0,9.713450775E0,-6.119274902E-1,2.618355103E0
4.124205125E0,9.842781830E0,-8.779243469E-1,2.630928955E0
4.134242125E0,9.924062805E0,-1.122515717E0,2.493065643E0
