"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.350159125E0,-7.318171859E-2,1.370607968E-2,-9.067203850E-3
2.360196125E0,-6.768392026E-2,-5.448375596E-4,-4.427849315E-3
2.370233125E0,-5.305810273E-2,-1.176233776E-2,3.655743785E-4
2.380270125E0,-4.491817206E-2,-1.345350966E-2,1.741043990E-3
2.390307125E0,-4.157670587E-2,-1.086917892E-2,1.583917765E-3
2.400344125E0,-3.763741627E-2,-6.786483340E-3,4.599795677E-3
2.410381125E0,-3.930269182E-2,-3.118245164E-3,3.446380841E-3
2.420418125E0,-3.951194137E-2,8.155331016E-3,3.416033695E-3
2.430455125E0,-4.060516879E-2,1.696906239E-2,8.541286923E-3
2.440492125E0,-3.597482666E-2,2.029108815E-2,1.120574865E-2
2.450529125E0,-2.767668478E-2,1.748677902E-2,1.388062723E-2
2.460567125E0,-2.131466381E-2,1.234357152E-2,1.485595014E-2
2.470604125E0,-1.663841866E-2,1.215635054E-2,1.655771211E-2
2.480641125E0,-1.109355874E-2,2.467325144E-2,1.812083274E-2
2.490678125E0,-6.920651067E-3,4.819775000E-2,1.551705971E-2
2.500715125E0,-5.606766790E-3,6.583494693E-2,1.896713674E-2
2.510752125E0,-4.821400158E-3,6.904512644E-2,1.559317857E-2
2.520789125E0,-8.481086232E-3,7.344435900E-2,9.789030999E-3
2.530826125E0,-9.274175391E-3,7.333437353E-2,1.139811426E-2
2.540863125E0,-9.576686658E-3,6.144320965E-2,1.060717180E-2
2.550900125E0,-1.407876052E-2,3.375725076E-2,1.409591362E-2
2.560937125E0,-1.230014302E-2,-2.744520549E-3,1.528459135E-2
2.570974125E0,-9.691044688E-3,-5.438107997E-2,1.777597889E-2
2.581011125E0,-4.311826080E-3,-9.498135746E-2,2.094811201E-2
2.591048125E0,2.916792175E-3,-1.406407058E-1,2.297078259E-2
2.601085125E0,1.163030695E-2,-1.689898521E-1,2.318180352E-2
2.611122125E0,2.377991378E-2,-1.937164962E-1,2.250935510E-2
2.621159125E0,3.019801341E-2,-1.936546266E-1,1.623200253E-2
2.631196125E0,2.881157026E-2,-1.755230278E-1,1.202021260E-2
2.641233125E0,2.385953069E-2,-1.318291128E-1,8.144406602E-3
2.651270125E0,1.762054488E-2,-7.306886464E-2,7.201647386E-3
2.661307125E0,2.099001594E-2,-1.114140078E-2,9.014264680E-3
2.671344125E0,1.768183708E-2,4.595757276E-2,1.243349724E-2
2.681381125E0,1.664239354E-2,8.988379687E-2,9.698836133E-3
2.691418125E0,1.512678899E-2,1.078417599E-1,6.707839668E-3
2.701455125E0,1.264195889E-2,1.126752868E-1,1.543741673E-4
2.711492125E0,1.206644997E-2,1.077630818E-1,-3.582839854E-3
2.721529125E0,8.244445547E-3,1.072489768E-1,-4.409975838E-3
2.731566125E0,-9.253501194E-4,1.116357371E-1,-4.555650987E-3
2.741603125E0,-2.468502615E-3,1.080057174E-1,-3.198011545E-3
2.751640125E0,-1.076957583E-2,9.507927299E-2,-9.854573291E-4
2.761677125E0,-1.781513542E-2,7.711343467E-2,-1.192960422E-3
2.771714125E0,-1.836347952E-2,6.928987056E-2,2.780742245E-3
2.781751125E0,-2.285599150E-2,6.744870543E-2,7.544847205E-3
2.791788125E0,-2.321631834E-2,7.588213682E-2,7.815424353E-3
2.801825125E0,-1.847920194E-2,9.894892573E-2,9.526503272E-3
2.811862125E0,-1.667863876E-2,1.042952240E-1,1.291857194E-2
2.821899125E0,-1.609493978E-2,8.456755430E-2,9.208704345E-3
2.831936125E0,-1.465230435E-2,4.497539997E-2,4.192373715E-3
2.841973625E0,-1.368240546E-2,9.634868242E-3,-4.353461321E-3
2.852010625E0,-1.128023397E-2,-3.999451641E-3,-7.650454529E-3
2.862047625E0,-7.640604395E-3,3.155594692E-3,-9.395970963E-3
2.872084625E0,-1.956619555E-3,1.189529058E-2,-8.827120066E-3
2.882122625E0,4.620962311E-3,1.551688090E-2,-7.808573544E-3
2.892159625E0,1.342963427E-2,3.126256866E-3,-1.222489402E-2
2.902196625E0,2.172907442E-2,-2.761868015E-2,-1.688077115E-2
2.912233625E0,3.311408684E-2,-6.079900637E-2,-1.629114710E-2
2.922270625E0,3.425741196E-2,-8.476483077E-2,-1.696205325E-2
2.932307625E0,2.761362493E-2,-8.015063405E-2,-1.804143377E-2
2.942344625E0,1.956177317E-2,-5.298396572E-2,-1.707261428E-2
2.952381625E0,1.308176853E-2,-1.885661855E-2,-1.331595983E-2
2.962418625E0,7.176316809E-3,2.470780350E-2,-1.798349246E-2
2.972455625E0,8.793653920E-3,6.762091070E-2,-1.703247800E-2
2.982492625E0,1.218303852E-2,1.010194942E-1,-1.885994896E-2
2.992529625E0,2.130702883E-2,1.217972115E-1,-1.922906376E-2
3.002566625E0,2.889394201E-2,1.336651742E-1,-2.318949066E-2
3.012603625E0,3.303222731E-2,1.306819022E-1,-2.991210856E-2
3.022640625E0,3.422491625E-2,1.157407314E-1,-2.954462357E-2
3.032677625E0,3.934537619E-2,9.348735958E-2,-2.977418900E-2
3.042714625E0,4.150236025E-2,6.611645967E-2,-2.615892515E-2
3.052751625E0,4.047518224E-2,4.057142138E-2,-2.787533216E-2
3.062788625E0,3.900467977E-2,1.461098343E-2,-2.314236201E-2
3.072825625E0,3.752183169E-2,-6.492171437E-3,-1.525887288E-2
3.082862625E0,3.584332392E-2,-1.561744791E-2,-1.479264256E-2
3.092899625E0,3.511334956E-2,-1.942443475E-2,-9.229033254E-3
3.102936625E0,2.851244062E-2,-2.297868952E-2,-2.771932632E-3
3.112973625E0,1.982281357E-2,-1.813573204E-2,-2.549558878E-3
3.123010625E0,1.311757043E-2,-1.173345279E-2,-3.551089903E-3
3.133047625E0,5.021028221E-3,-2.814260777E-3,-9.486488998E-4
3.143084625E0,-1.189025352E-3,1.131060813E-2,-9.840964340E-4
3.153121625E0,-5.431707017E-3,2.368205786E-2,-9.992765263E-4
3.163158625E0,-9.212272242E-3,2.428146452E-2,2.632143442E-4
3.173195625E0,-1.078220550E-2,1.916047186E-2,2.832361497E-5
3.183232625E0,-1.213933993E-2,9.217247367E-3,-1.771313837E-3
3.193269625E0,-7.040717639E-3,5.224504275E-5,-2.435506321E-3
3.203306625E0,2.975217067E-4,-2.854975406E-3,-2.375009935E-3
3.213343625E0,6.396253593E-5,-1.202210877E-2,1.131840283E-3
3.223380625E0,6.936071441E-3,-7.683125790E-3,6.134202704E-4
3.233417625E0,4.750947468E-3,-7.635455579E-3,2.419842407E-3
3.243454625E0,3.597056260E-3,-6.318323314E-3,9.358099196E-4
3.253491625E0,3.500649938E-3,-1.412431430E-2,5.347379483E-4
3.263529625E0,-1.173722325E-3,-3.117190115E-2,1.701937057E-3
3.273565625E0,-3.990814090E-3,-5.604262650E-2,3.067339770E-3
3.283603625E0,-7.873825729E-3,-6.290316582E-2,4.038625397E-3
3.293640625E0,-6.736922078E-3,-6.145920232E-2,5.915088579E-3
3.303677625E0,-1.511044102E-3,-4.893027619E-2,2.884339308E-3
3.313714625E0,2.144410973E-3,-2.324914932E-2,2.105254680E-4
3.323751625E0,-1.011457527E-3,1.432713307E-2,-5.861493759E-3
3.333788625E0,-2.674335148E-3,5.155652389E-2,-9.588321671E-3
3.343825625E0,-1.271058805E-2,6.930907816E-2,-7.905372418E-3
3.353862625E0,-1.703289896E-2,7.370436192E-2,-9.582364932E-3
3.363899625E0,-2.121180110E-2,6.162780151E-2,-1.253777184E-2
3.373936625E0,-2.005012892E-2,4.423655942E-2,-1.317453384E-2
3.383973625E0,-1.426736638E-2,2.696025185E-2,-1.276256330E-2
3.394010625E0,-9.078729898E-3,3.000590485E-3,-1.196441427E-2
3.404047625E0,-4.380320664E-3,-1.409617811E-2,-8.943962865E-3
3.414084625E0,-5.137723871E-3,-2.555229887E-2,-8.523450233E-3
3.424121625E0,-7.442714646E-3,-2.775698155E-2,-3.138827160E-3
3.434158625E0,-1.106328238E-2,-2.359605581E-2,-2.289278666E-3
3.444195625E0,-9.666837752E-3,-8.308362216E-3,-2.246407326E-3
3.454232625E0,-2.530962229E-4,4.706505686E-3,-1.054920722E-4
3.464269625E0,7.962104864E-3,1.998919994E-2,-2.671927214E-4
3.474306625E0,1.749435626E-2,3.574685752E-2,-6.453616079E-4
3.484343625E0,2.397644520E-2,4.322311655E-2,-3.349530278E-3
3.494380625E0,2.983220294E-2,4.724076390E-2,-3.565778956E-3
3.504417625E0,3.103625216E-2,4.995113611E-2,-4.299871624E-3
3.514454625E0,2.933262847E-2,4.926909879E-2,3.689157311E-4
3.524491625E0,2.588337474E-2,4.862423241E-2,3.195341909E-3
3.534528625E0,1.864676736E-2,4.560447484E-2,5.841724575E-3
3.544565625E0,1.570384763E-2,3.487143666E-2,6.954149343E-3
3.554602625E0,1.683649048E-2,1.656167395E-2,6.564262323E-3
3.564639625E0,2.048757859E-2,3.190780524E-3,3.554742085E-3
3.574676625E0,2.280852385E-2,-4.000553396E-3,1.018347451E-3
3.584713625E0,2.774505503E-2,-7.697550580E-3,3.989133053E-3
3.594750625E0,3.225058690E-2,-1.227312721E-2,4.593936726E-3
3.604787625E0,3.427856416E-2,-1.433115453E-3,6.692755967E-3
3.614824625E0,3.142338619E-2,5.834384821E-3,8.723948151E-3
3.624861625E0,2.519035339E-2,2.696949989E-2,5.323123187E-3
3.634898625E0,2.005258389E-2,4.790727049E-2,3.123618430E-3
3.644935625E0,1.819496974E-2,6.264182180E-2,3.130915575E-3
3.654972625E0,1.330593787E-2,7.235942781E-2,-1.733081881E-3
3.665009625E0,1.341107115E-2,7.716490328E-2,-3.149249358E-3
3.675047625E0,1.182835363E-2,7.454169542E-2,-2.062679734E-3
3.685084625E0,6.154078990E-3,6.503219157E-2,-3.669867292E-4
3.695121625E0,-1.937935711E-3,5.781476200E-2,4.739092663E-3
3.705158625E0,-5.992492661E-3,5.472545326E-2,9.376337752E-3
3.715195625E0,-7.008488756E-3,6.156844646E-2,9.716955945E-3
3.725232625E0,2.252985723E-3,7.229889184E-2,1.059295516E-2
3.735269625E0,2.210445516E-2,8.752898127E-2,7.938848808E-3
3.745306625E0,3.843773156E-2,9.635977447E-2,1.652568346E-3
3.755343625E0,6.158938631E-2,1.025803834E-1,-2.880930901E-3
3.765380625E0,8.330261707E-2,1.110146865E-1,-5.700035952E-3
